Time,Value
10/1/2017 2:57:00 AM,45
10/1/2017 2:58:00 AM,52
10/1/2017 2:59:00 AM,46
10/1/2017 3:00:00 AM,45
10/1/2017 3:01:00 AM,45
10/1/2017 3:02:00 AM,46
10/1/2017 3:03:00 AM,46
10/1/2017 3:04:00 AM,46
10/1/2017 3:05:00 AM,50
10/1/2017 3:06:00 AM,56
10/1/2017 3:07:00 AM,44
10/1/2017 3:08:00 AM,44
10/1/2017 3:09:00 AM,45
10/1/2017 3:10:00 AM,44
10/1/2017 3:11:00 AM,45
10/1/2017 3:12:00 AM,44
10/1/2017 3:13:00 AM,45
10/1/2017 3:14:00 AM,45
10/1/2017 3:15:00 AM,45
10/1/2017 3:16:00 AM,45
10/1/2017 3:17:00 AM,45
10/1/2017 3:18:00 AM,45
10/1/2017 3:19:00 AM,45
10/1/2017 3:20:00 AM,45
10/1/2017 3:21:00 AM,45
10/1/2017 3:22:00 AM,45
10/1/2017 3:23:00 AM,51
10/1/2017 3:24:00 AM,48
10/1/2017 3:25:00 AM,47
10/1/2017 3:26:00 AM,50
10/1/2017 3:27:00 AM,47
10/1/2017 3:28:00 AM,48
10/1/2017 3:29:00 AM,49
10/1/2017 3:30:00 AM,49
10/1/2017 3:31:00 AM,51
10/1/2017 3:32:00 AM,49
10/1/2017 3:33:00 AM,48
10/1/2017 3:34:00 AM,49
10/1/2017 3:35:00 AM,49
10/1/2017 3:36:00 AM,48
10/1/2017 3:37:00 AM,48
10/1/2017 3:38:00 AM,49
10/1/2017 3:39:00 AM,60
10/1/2017 3:40:00 AM,50
10/1/2017 3:41:00 AM,52
10/1/2017 3:42:00 AM,51
10/1/2017 3:43:00 AM,48
10/1/2017 3:44:00 AM,50
10/1/2017 3:45:00 AM,51
10/1/2017 3:46:00 AM,49
10/1/2017 3:47:00 AM,49
10/1/2017 3:48:00 AM,48
10/1/2017 3:49:00 AM,50
10/1/2017 3:50:00 AM,50
10/1/2017 3:51:00 AM,49
10/1/2017 3:52:00 AM,47
10/1/2017 3:53:00 AM,47
10/1/2017 3:54:00 AM,47
10/1/2017 3:55:00 AM,46
10/1/2017 3:56:00 AM,48
10/1/2017 3:57:00 AM,47
10/1/2017 3:58:00 AM,47
10/1/2017 3:59:00 AM,47
10/1/2017 4:00:00 AM,48
10/1/2017 4:01:00 AM,47
10/1/2017 4:02:00 AM,47
10/1/2017 4:03:00 AM,47
10/1/2017 4:04:00 AM,47
10/1/2017 4:05:00 AM,47
10/1/2017 4:06:00 AM,46
10/1/2017 4:07:00 AM,46
10/1/2017 4:08:00 AM,47
10/1/2017 4:09:00 AM,46
10/1/2017 4:10:00 AM,46
10/1/2017 4:11:00 AM,47
10/1/2017 4:12:00 AM,46
10/1/2017 4:13:00 AM,46
10/1/2017 4:14:00 AM,46
10/1/2017 4:15:00 AM,47
10/1/2017 4:16:00 AM,47
10/1/2017 4:17:00 AM,47
10/1/2017 4:18:00 AM,46
10/1/2017 4:19:00 AM,47
10/1/2017 4:20:00 AM,46
10/1/2017 4:21:00 AM,46
10/1/2017 4:22:00 AM,45
10/1/2017 4:23:00 AM,45
10/1/2017 4:24:00 AM,46
10/1/2017 4:25:00 AM,51
10/1/2017 4:26:00 AM,57
10/1/2017 4:27:00 AM,45
10/1/2017 4:28:00 AM,44
10/1/2017 4:29:00 AM,44
10/1/2017 4:30:00 AM,53
10/1/2017 4:31:00 AM,47
10/1/2017 4:32:00 AM,45
10/1/2017 4:33:00 AM,46
10/1/2017 4:34:00 AM,44
10/1/2017 4:35:00 AM,45
10/1/2017 4:36:00 AM,54
10/1/2017 4:37:00 AM,44
10/1/2017 4:38:00 AM,44
10/1/2017 4:39:00 AM,44
10/1/2017 4:40:00 AM,53
10/1/2017 4:41:00 AM,44
10/1/2017 4:42:00 AM,47
10/1/2017 4:43:00 AM,42
10/1/2017 4:44:00 AM,42
10/1/2017 4:45:00 AM,42
10/1/2017 4:46:00 AM,48
10/1/2017 4:47:00 AM,43
10/1/2017 4:48:00 AM,43
10/1/2017 4:49:00 AM,43
10/1/2017 4:50:00 AM,44
10/1/2017 4:51:00 AM,44
10/1/2017 4:52:00 AM,50
10/1/2017 4:53:00 AM,53
10/1/2017 4:54:00 AM,45
10/1/2017 4:55:00 AM,44
10/1/2017 4:56:00 AM,43
10/1/2017 4:57:00 AM,42
10/1/2017 4:58:00 AM,43
10/1/2017 4:59:00 AM,42
10/1/2017 5:00:00 AM,42
10/1/2017 5:01:00 AM,43
10/1/2017 5:02:00 AM,43
10/1/2017 5:03:00 AM,43
10/1/2017 5:04:00 AM,43
10/1/2017 5:05:00 AM,50
10/1/2017 5:06:00 AM,50
10/1/2017 5:07:00 AM,46
10/1/2017 5:08:00 AM,61
10/1/2017 5:09:00 AM,46
10/1/2017 5:10:00 AM,51
10/1/2017 5:11:00 AM,45
10/1/2017 5:12:00 AM,49
10/1/2017 5:13:00 AM,47
10/1/2017 5:14:00 AM,51
10/1/2017 5:15:00 AM,49
10/1/2017 5:16:00 AM,54
10/1/2017 5:17:00 AM,51
10/1/2017 5:18:00 AM,56
10/1/2017 5:19:00 AM,46
10/1/2017 5:20:00 AM,48
10/1/2017 5:21:00 AM,48
10/1/2017 5:22:00 AM,48
10/1/2017 5:23:00 AM,49
10/1/2017 5:24:00 AM,53
10/1/2017 5:25:00 AM,51
10/1/2017 5:26:00 AM,46
10/1/2017 5:27:00 AM,51
10/1/2017 5:28:00 AM,48
10/1/2017 5:29:00 AM,46
10/1/2017 5:30:00 AM,44
10/1/2017 5:31:00 AM,46
10/1/2017 5:32:00 AM,50
10/1/2017 5:33:00 AM,45
10/1/2017 5:34:00 AM,48
10/1/2017 5:35:00 AM,51
10/1/2017 5:36:00 AM,48
10/1/2017 5:37:00 AM,46
10/1/2017 5:38:00 AM,46
10/1/2017 5:39:00 AM,45
10/1/2017 5:40:00 AM,45
10/1/2017 5:41:00 AM,45
10/1/2017 5:42:00 AM,44
10/1/2017 5:43:00 AM,45
10/1/2017 5:44:00 AM,48
10/1/2017 5:45:00 AM,46
10/1/2017 5:46:00 AM,44
10/1/2017 5:47:00 AM,48
10/1/2017 5:48:00 AM,47
10/1/2017 5:49:00 AM,53
10/1/2017 5:50:00 AM,46
10/1/2017 5:51:00 AM,46
10/1/2017 5:52:00 AM,46
10/1/2017 5:53:00 AM,53
10/1/2017 5:54:00 AM,45
10/1/2017 5:55:00 AM,42
10/1/2017 5:56:00 AM,43
10/1/2017 5:57:00 AM,43
10/1/2017 5:58:00 AM,44
10/1/2017 5:59:00 AM,42
10/1/2017 6:00:00 AM,43
10/1/2017 6:01:00 AM,43
10/1/2017 6:02:00 AM,44
10/1/2017 6:03:00 AM,44
10/1/2017 6:04:00 AM,43
10/1/2017 6:05:00 AM,44
10/1/2017 6:06:00 AM,44
10/1/2017 6:07:00 AM,44
10/1/2017 6:08:00 AM,44
10/1/2017 6:09:00 AM,44
10/1/2017 6:10:00 AM,45
10/1/2017 6:11:00 AM,43
10/1/2017 6:12:00 AM,44
10/1/2017 6:13:00 AM,45
10/1/2017 6:14:00 AM,44
10/1/2017 6:15:00 AM,44
10/1/2017 6:16:00 AM,44
10/1/2017 6:17:00 AM,44
10/1/2017 6:18:00 AM,44
10/1/2017 6:19:00 AM,43
10/1/2017 6:20:00 AM,44
10/1/2017 6:21:00 AM,44
10/1/2017 6:22:00 AM,43
10/1/2017 6:23:00 AM,44
10/1/2017 6:24:00 AM,44
10/1/2017 6:25:00 AM,44
10/1/2017 6:26:00 AM,44
10/1/2017 6:27:00 AM,44
10/1/2017 6:28:00 AM,44
10/1/2017 6:29:00 AM,44
10/1/2017 6:30:00 AM,44
10/1/2017 6:31:00 AM,45
10/1/2017 6:32:00 AM,45
10/1/2017 6:33:00 AM,44
10/1/2017 6:34:00 AM,45
10/1/2017 6:35:00 AM,44
10/1/2017 6:36:00 AM,59
10/1/2017 6:37:00 AM,47
10/1/2017 6:38:00 AM,44
10/1/2017 6:39:00 AM,45
10/1/2017 6:40:00 AM,48
10/1/2017 6:41:00 AM,47
10/1/2017 6:42:00 AM,49
10/1/2017 6:43:00 AM,48
10/1/2017 6:44:00 AM,45
10/1/2017 6:45:00 AM,46
10/1/2017 6:46:00 AM,47
10/1/2017 6:47:00 AM,48
10/1/2017 6:48:00 AM,48
10/1/2017 6:49:00 AM,46
10/1/2017 6:50:00 AM,51
10/1/2017 6:51:00 AM,64
10/1/2017 6:52:00 AM,52
10/1/2017 6:53:00 AM,46
10/1/2017 6:54:00 AM,44
10/1/2017 6:55:00 AM,45
